model,topk,d_sae,expansion,val_ev,val_recon,actual_l0,l0_min,l0_max,l0_p99,theta,converged,ev_history,dead_pct,ultra_rare_pct,effective_atoms,common_atoms,top20_purity,separable_pct,entangled_pct,dead_atom_pct,quality_score,auroc_af,auroc_hf,auroc_mi,auroc_dm,auroc_htn,auroc_sex,auroc_age,prs_af,prs_hf,prs_mi,prs_dm,prs_htn,prs_sex,prs_age,auroc_recon_af,auroc_recon_hf,auroc_recon_mi,auroc_recon_dm,auroc_recon_htn,auroc_recon_sex,auroc_recon_age,faithfulness_af,faithfulness_hf,faithfulness_mi,faithfulness_dm,faithfulness_htn,faithfulness_sex,faithfulness_age,top1_auroc_af,top5_auroc_af,top1_auroc_hf,top5_auroc_hf,top1_auroc_mi,top5_auroc_mi,top1_auroc_dm,top5_auroc_dm,top1_auroc_htn,top5_auroc_htn,top1_auroc_sex,top5_auroc_sex,top1_auroc_age,top5_auroc_age,time_s
M1,16,1536,2,0.8357012443698617,0.1639885045803146,15.75273122351419,3.0,44.0,26.0,2.077526330947876,False,"[0.7465, 0.8064, 0.8242, 0.8321, 0.8368]",33.26822916666667,17.1875,761.0,444.0,0.4205209734072149,0.0,66.73177083333334,33.26822916666667,-33.26822916666667,0.8483766913414001,0.8272361755371094,0.7569974660873413,0.6661807298660278,0.6002184748649597,0.7835460305213928,0.407249391078949,0.983654977812578,0.9753505208100176,0.9666522991644294,0.9411687927610394,0.9373732869890288,0.9112900670948604,0.7932680128148715,0.8482984900474548,0.8269651532173157,0.7567178606987,0.6668210625648499,0.601958692073822,0.7820835113525391,0.4071263074874878,0.9835643068961728,0.9750309726947648,0.9662952554438132,0.94207344389563,0.9400910192706172,0.9095891087087586,0.7930282622390638,0.5980483889579773,0.6679361462593079,0.5434814691543579,0.6327686905860901,0.524276852607727,0.6084706783294678,0.5123007297515869,0.5569939017295837,0.5155915319919586,0.5163765549659729,0.526951938867569,0.5833247900009155,,,33.20968055725098
M2,16,3072,4,0.8386346394296946,0.161060648752312,15.763855949949823,4.0,42.0,26.0,2.096306562423706,False,"[0.7536, 0.811, 0.8273, 0.835, 0.8396]",49.609375,17.447916666666664,1012.0,482.0,0.4182199512479023,0.0,50.390625,49.609375,-49.609375,0.8475124835968018,0.8271239399909973,0.7591123580932617,0.6683993339538574,0.6067495942115784,0.7863183617591858,0.4106417298316955,0.9826529674337988,0.975218189800336,0.9693529227617236,0.94430319884237,0.9475730676789434,0.9145143804361155,0.7998758405492645,0.8472470045089722,0.8268623352050781,0.7576481699943542,0.6685370802879333,0.606578528881073,0.7849496603012085,0.4092339873313904,0.9823451562587466,0.9749097454023056,0.9674832192876373,0.9444978045178832,0.9473059115052156,0.91292253516489,0.797133744133077,0.597592294216156,0.6648364663124084,0.5552797913551331,0.6438923478126526,0.522440493106842,0.6219760179519653,0.5103507936000824,0.5483755469322205,0.5144941806793213,0.5239782333374023,0.5460259914398193,0.6191993951797485,,,49.83592963218689
M3,16,6144,8,0.8397984033873703,0.1598990823705596,15.779230588495883,3.0,37.0,27.0,2.113022327423096,False,"[0.758, 0.8121, 0.8284, 0.8361, 0.8407]",65.02278645833334,15.91796875,1171.0,533.0,0.4253149681937272,0.0,34.97721354166667,65.02278645833334,-65.02278645833334,0.8486011028289795,0.8267232775688171,0.7590651512145996,0.6654614806175232,0.6032578945159912,0.7871602177619934,0.414031445980072,0.9839151729347314,0.974745789881548,0.9692926416645742,0.9401526496686904,0.9421200099043264,0.9154934869383492,0.8064785597968123,0.8478305339813232,0.8265261054039001,0.7580804228782654,0.6661704182624817,0.603062629699707,0.7853745222091675,0.4113947749137878,0.9830217326852758,0.9745133145867916,0.968035187111536,0.9411542247031148,0.9418150609060224,0.913416663680036,0.8013426728857076,0.597707986831665,0.6568195223808289,0.5447064638137817,0.6127992868423462,0.5375915765762329,0.605866551399231,0.5113302767276764,0.5522542595863342,0.5139465034008026,0.5105204582214355,0.5420296788215637,0.5937770009040833,,,85.88522100448608
M4,16,12288,16,0.8404108511390915,0.15928779112521133,15.77085579879546,4.0,56.0,27.0,2.123227834701538,False,"[0.7594, 0.814, 0.8295, 0.8368, 0.8414]",76.10677083333334,13.346354166666666,1296.0,514.0,0.4322829208355032,0.0,23.893229166666664,76.10677083333334,-76.10677083333334,0.8459616303443909,0.8263289332389832,0.7574105262756348,0.6646254658699036,0.6015334129333496,0.7864626049995422,0.40792644023895264,0.9808548221792672,0.9742808392920355,0.9671797587644871,0.9389715422672412,0.9394268522672902,0.9146821401171836,0.7945866306286223,0.8472104072570801,0.826585590839386,0.7581403255462646,0.667982280254364,0.6046383380889893,0.7857151627540588,0.4088630676269531,0.9823027233756119,0.9745834507246898,0.9681116801704189,0.9437139924764822,0.9442758764491128,0.9138128399516492,0.7964110566205974,0.5944561958312988,0.6544265747070312,0.5438345670700073,0.5928888916969299,0.5165000557899475,0.5840031504631042,0.5133418142795563,0.5448939800262451,0.5162692368030548,0.5143228769302368,0.5080693960189819,0.5785500407218933,,,113.64497256278992
M5,32,1536,2,0.8836312394735407,0.11614901735201134,31.489637884318014,11.0,73.0,51.0,1.265607237815857,False,"[0.8025, 0.8554, 0.872, 0.8797, 0.8845]",2.994791666666667,25.911458333333332,1092.0,682.0,0.4013900657662245,0.0,97.00520833333334,2.994791666666667,-2.994791666666667,0.8526945114135742,0.8332675695419312,0.7646844983100891,0.679679811000824,0.6152251362800598,0.80979984998703,0.4437560439109802,0.9886612978242435,0.9824618192007024,0.9764682994877553,0.9602400647529122,0.9608094925149728,0.9418241314259843,0.8643779489894486,0.8523056507110596,0.833119809627533,0.7640953660011292,0.679509162902832,0.6158241629600525,0.8077021241188049,0.44080567359924316,0.9882104311637046,0.9822876032830178,0.9757160035733294,0.9599989760255239,0.9617450045518944,0.9393844065435426,0.858631018724922,0.6054146885871887,0.7372393012046814,0.5496782660484314,0.6749488711357117,0.5706176459789276,0.6428720951080322,0.5158666968345642,0.5655152797698975,0.5162984430789948,0.5410288572311401,0.536171168088913,0.6032062768936157,,,32.46103501319885
M6,32,3072,4,0.8865289100555135,0.1132568185420958,31.47148834826073,12.0,78.0,51.0,1.2766424417495728,False,"[0.813, 0.8607, 0.8755, 0.8828, 0.8874]",9.27734375,36.45833333333333,1667.0,843.0,0.41465289574896275,0.0,90.72265625,9.27734375,-9.27734375,0.8527106642723083,0.8342087864875793,0.7668265104293823,0.6785667538642883,0.6108245849609375,0.8104075789451599,0.4471933841705322,0.9886800263443242,0.9835715584327145,0.9792035542709119,0.9586675565813265,0.95393706284593,0.9425309403963025,0.8710734321593104,0.8524033427238464,0.8336409330368042,0.7657557725906372,0.678435206413269,0.6124252676963806,0.8080102801322937,0.4419289827346802,0.9883237007002807,0.9829020323948842,0.9778362693855674,0.9584817085822535,0.9564368813286691,0.9397428022258244,0.8608190760142667,0.6080517172813416,0.6715583801269531,0.5509446859359741,0.6485776305198669,0.5278060436248779,0.6331074237823486,0.5141607522964478,0.5634695887565613,0.5164369642734528,0.5150614380836487,0.5300416648387909,0.5801935195922852,,,48.090906620025635
M7,32,6144,8,0.8877563485583526,0.11203169785403648,31.340616653384018,11.0,74.0,51.0,1.2873010635375977,False,"[0.817, 0.8628, 0.8772, 0.8844, 0.8888]",18.766276041666664,45.52408854166667,2194.0,901.0,0.42228594019764104,0.0,81.23372395833334,18.766276041666664,-18.766276041666664,0.8517510294914246,0.8346778154373169,0.7675225138664246,0.6786574125289917,0.6143175959587097,0.8125209808349609,0.45079684257507324,0.987567372568316,0.9841245657164016,0.9800923198913845,0.9587956375992649,0.959392168507593,0.9449888970126784,0.8780924914548968,0.8517504930496216,0.8345625996589661,0.7666329741477966,0.6783522367477417,0.6167585849761963,0.8089509010314941,0.4446473717689514,0.9875667505879442,0.9839887208721563,0.9789564169950984,0.958364490451438,0.9632043102437172,0.9408367755840619,0.8661141375018576,0.6018002033233643,0.6848252415657043,0.547334611415863,0.6438071131706238,0.5635056793689728,0.6217066645622253,0.5085719227790833,0.5488401651382446,0.5152386724948883,0.5244958996772766,0.5073035359382629,0.590097188949585,,,82.2037513256073
M8,32,12288,16,0.8883295125139801,0.11145961622382453,31.38714035510814,11.0,80.0,51.0,1.2885386943817139,False,"[0.8193, 0.8641, 0.8781, 0.885, 0.8893]",28.377278645833332,50.944010416666664,2541.0,926.0,0.4191641407908368,0.0,71.62272135416666,28.377278645833332,-28.377278645833332,0.8501051068305969,0.8334827423095703,0.7627916932106018,0.6681353449821472,0.6096134185791016,0.8100748062133789,0.4492948651313782,0.9856589985701363,0.9827155180562255,0.9740512710520505,0.9439302397178142,0.952045559901627,0.9421439146527475,0.875166838497548,0.8519949913024902,0.8340728282928467,0.7644084692001343,0.676970362663269,0.6154376864433289,0.8092657327651978,0.446327805519104,0.9878502354195707,0.9834112572999034,0.9761158225169231,0.9564122022726844,0.9611414363879741,0.9412029353507567,0.869387399687918,0.6064876317977905,0.6922968029975891,0.5496025681495667,0.6718840599060059,0.5560399293899536,0.6252990961074829,0.5252496004104614,0.5687279105186462,0.5148614346981049,0.516089677810669,0.5459574460983276,0.5988060832023621,,,114.01047825813293
M9,64,1536,2,0.9185731502243178,0.0812730886255758,62.87777840200983,28.0,183.0,101.0,0.7622911930084229,False,"[0.8482, 0.8924, 0.9074, 0.9148, 0.9193]",0.0,3.90625,1476.0,895.0,0.39918194445220667,0.0,100.0,0.0,0.0,0.8564633131027222,0.8394660949707031,0.7706276774406433,0.6861881017684937,0.6202164888381958,0.8253963589668274,0.47078919410705566,0.9930310554799581,0.9897701734337381,0.9840574765038821,0.9694348671393117,0.9686045883840123,0.9599633895691051,0.9170349420419082,0.8558138012886047,0.8382131457328796,0.7689629793167114,0.6870076656341553,0.6211189031600952,0.8229390382766724,0.46659332513809204,0.992277975467712,0.9882928871063285,0.9819317305919033,0.9705927330148234,0.9700139070147579,0.9571054439610917,0.9088619454971021,0.6185919046401978,0.7249868512153625,0.5534648299217224,0.6895238161087036,0.5703480243682861,0.6531270146369934,0.519887238740921,0.583999752998352,0.5166266560554504,0.5396552681922913,0.5656416416168213,0.6453328132629395,,,32.366246461868286
M10,64,3072,4,0.9215764773629853,0.07827543277391323,62.69363297665377,29.0,173.0,101.0,0.7562807202339172,False,"[0.8594, 0.8983, 0.9114, 0.9181, 0.9224]",0.0,17.057291666666664,2548.0,1254.0,0.4058623113012387,0.0,100.0,0.0,0.0,0.8562604188919067,0.8391301035881042,0.772210419178009,0.6875777840614319,0.6208478212356567,0.8284303545951843,0.4771474003791809,0.992795808681602,0.9893740237249893,0.9860785677333097,0.9713981866220429,0.9695905529108853,0.9634920272904794,0.9294198850126318,0.8547576069831848,0.83805251121521,0.7698838114738464,0.6871103644371033,0.6211307644844055,0.8247348666191101,0.4689145088195801,0.991053365224801,0.9881034914233272,0.9831075925487998,0.9707378241350784,0.9700324310839467,0.9591940519903889,0.913383303611235,0.6112092137336731,0.7479497790336609,0.5536937117576599,0.7094002366065979,0.580003023147583,0.6761360764503479,0.5189154148101807,0.5989747643470764,0.5162865817546844,0.532916247844696,0.5731948018074036,0.6145220398902893,,,48.28940176963806
M11,64,6144,8,0.9226739372315,0.07718004527700617,62.768006076985834,30.0,165.0,101.0,0.7567732334136963,False,"[0.8642, 0.9007, 0.913, 0.9194, 0.9234]",0.146484375,32.79622395833333,4120.0,1432.0,0.4121590979848847,0.0,99.853515625,0.146484375,-0.146484375,0.8560460209846497,0.8374460339546204,0.7720227837562561,0.6880455017089844,0.6199931502342224,0.8283888697624207,0.4777873158454895,0.9925472238597199,0.987388426089547,0.9858389655946399,0.9720589701511441,0.968255795985769,0.9634437790516268,0.9306663555134492,0.8547028303146362,0.8374679684638977,0.7711341977119446,0.6894949674606323,0.6226873993873596,0.8234339356422424,0.4677601456642151,0.9909898541179593,0.9874142879119382,0.9847042804982963,0.9741067506864671,0.9724634591790952,0.9576810260403925,0.9111347572076088,0.6129229664802551,0.7263786196708679,0.5530529022216797,0.7047342658042908,0.5664811134338379,0.6586458683013916,0.517326295375824,0.5762173533439636,0.5159736573696136,0.5143057703971863,0.5787712931632996,0.6252965331077576,,,83.19306516647339
M12,64,12288,16,0.9227952490620769,0.07705896252377481,62.567586141080724,28.0,166.0,101.0,0.7586877346038818,False,"[0.8654, 0.9014, 0.9134, 0.9196, 0.9237]",0.68359375,52.775065104166664,5719.0,1445.0,0.40506620718620123,0.0,99.31640625,0.68359375,-0.68359375,0.8528973460197449,0.836639404296875,0.7688685059547424,0.6806355714797974,0.6147010922431946,0.8263567090034485,0.46899622678756714,0.9888964755136694,0.9864373716264465,0.981811092285108,0.9615903468848271,0.9599910823827724,0.9610803085696705,0.9135424793802942,0.8552737236022949,0.8379277586936951,0.7701258659362793,0.6887275576591492,0.6223531365394592,0.8242397308349609,0.4666574001312256,0.9916517794512889,0.9879564023084768,0.9834166853966835,0.9730225671848517,0.9719414341539154,0.958618192622359,0.9089867550899093,0.611806333065033,0.7143728137016296,0.5540055632591248,0.6955429911613464,0.5817311406135559,0.6654234528541565,0.5229523181915283,0.5834336280822754,0.5165018439292908,0.5152617692947388,0.5467922389507294,0.6187437176704407,,,116.7895576953888
M13,128,1536,2,0.9441610453860072,0.05573351197552852,126.2530938540425,65.0,323.0,205.0,0.46745121479034424,False,"[0.8874, 0.9219, 0.9344, 0.9406, 0.9446]",0.0,0.0,1536.0,928.0,0.38678386138781207,0.1953125,99.8046875,0.0,0.1953125,0.8581050634384155,0.8416114449501038,0.7739391922950745,0.6912258863449097,0.6282981634140015,0.8339905142784119,0.48714232444763184,0.9949345918530247,0.9922996423830011,0.9882861345789195,0.9765521634155477,0.9812259024200439,0.9699586777403769,0.9488886721652549,0.8573546409606934,0.8411471247673035,0.7715315222740173,0.6921524405479431,0.6281079649925232,0.8304650187492371,0.47983473539352417,0.9940645104219722,0.9917521869579251,0.9852116463993043,0.9778611834180807,0.9809288657125995,0.9658584093040905,0.9346544573859414,0.6907863616943359,0.7663630247116089,0.6249803304672241,0.7382648587226868,0.5931628942489624,0.6707037091255188,0.5599919557571411,0.6169535517692566,0.5160960257053375,0.5545508861541748,0.569070041179657,0.6284171342849731,,,32.387120962142944
M14,128,3072,4,0.9464991526720764,0.05339981981869942,125.73285714014986,67.0,353.0,205.0,0.45198342204093933,False,"[0.8967, 0.9271, 0.9378, 0.9435, 0.9471]",0.0,0.06510416666666666,3070.0,1701.0,0.4048990955258584,0.06510416666666666,99.93489583333334,0.0,0.06510416666666666,0.8579679727554321,0.8424869179725647,0.7750890254974365,0.6942119002342224,0.6278602480888367,0.8372212052345276,0.4968253970146179,0.9947756413135949,0.9933318664245306,0.9897544207469878,0.9807707529984937,0.9805420012324556,0.9737160786632076,0.9677500139322336,0.8568410873413086,0.8417861461639404,0.7721315026283264,0.6943438053131104,0.6271008253097534,0.8321994543075562,0.48440080881118774,0.9934690678794823,0.9925056233651446,0.985977794788075,0.9809571062481306,0.9793559953754987,0.9678756154856605,0.9435485631223064,0.6155871152877808,0.7520126104354858,0.5544075965881348,0.7155945897102356,0.578423023223877,0.6663247346878052,0.5447399616241455,0.5868385434150696,0.520035445690155,0.559030294418335,0.5436374247074127,0.6118394136428833,,,48.27362084388733
M15,128,6144,8,0.9479866979846334,0.051915083489649946,125.35661630260239,63.0,323.0,204.0,0.44288790225982666,False,"[0.9004, 0.9294, 0.9396, 0.945, 0.9486]",0.0,1.3671875,6060.0,2008.0,0.4186899209871866,0.048828125,99.951171875,0.0,0.048828125,0.8593180775642395,0.8410427570343018,0.775263786315918,0.6923036575317383,0.6272782683372498,0.839589536190033,0.4977065920829773,0.9963410276912572,0.9916291324714928,0.9899775825864351,0.978074820198166,0.9796331117271321,0.9764705262531076,0.9694664651136871,0.8580512404441833,0.8410421013832092,0.7737098336219788,0.695680558681488,0.6294485926628113,0.8332608342170715,0.4844862222671509,0.994872186489066,0.9916283594278887,0.987993253692769,0.9828456486474105,0.9830225509598074,0.9691100355851558,0.9437149372120671,0.6204699277877808,0.7636261582374573,0.5523567795753479,0.7113391757011414,0.56154865026474,0.6506797671318054,0.5365774035453796,0.5949855446815491,0.5175319015979767,0.5204054117202759,0.5731350183486938,0.6439077854156494,,,83.69585609436035
M16,128,12288,16,0.9482807513158381,0.051621585429569315,124.99252532514964,65.0,332.0,205.0,0.4400217533111572,False,"[0.898, 0.929, 0.9397, 0.9452, 0.949]",0.0,5.95703125,11556.0,1776.0,0.4148516953116639,0.0244140625,99.9755859375,0.0,0.0244140625,0.855459988117218,0.8383651375770569,0.7723581194877625,0.6856952905654907,0.6154311299324036,0.8382379412651062,0.4805126190185547,0.9918677448581228,0.988472092669094,0.9862671744993909,0.9687386318623131,0.9611311969527441,0.9748985764481907,0.9359748848268687,0.8568703532218933,0.8410325646400452,0.7724577188491821,0.6934518814086914,0.6275568008422852,0.8337936997413635,0.4799776077270508,0.993503000364204,0.9916171151572838,0.9863943584808768,0.9796970113418647,0.9800681015528568,0.969729775894556,0.9349327537524149,0.6139851808547974,0.7642552256584167,0.6312299370765686,0.7237594127655029,0.6232579946517944,0.691447377204895,0.5511882901191711,0.5953924059867859,0.5137443542480469,0.5267155766487122,0.5630156695842743,0.6383682489395142,,,118.44121646881104
M17,256,1536,2,0.9637237859033024,0.036207712460979334,253.4930879985752,154.0,537.0,406.0,0.296490341424942,False,"[0.9198, 0.9459, 0.9558, 0.9607, 0.964]",0.0,0.0,1536.0,414.0,0.38242188174384256,3.515625,96.484375,0.0,3.515625,0.8606197834014893,0.8442577719688416,0.7766909003257751,0.6967376470565796,0.629542887210846,0.843802273273468,0.501788318157196,0.9978502976176078,0.9954197869224776,0.9917999440877602,0.9843390851057523,0.9831698126555696,0.9813700794508463,0.977417126430376,0.8589915633201599,0.8437321186065674,0.7748077511787415,0.6976338624954224,0.6292150616645813,0.8384389877319336,0.49281513690948486,0.9959624489716937,0.9948000167820739,0.9893952458764723,0.9856052430187845,0.9826578408940703,0.975132400168952,0.9599385588497548,0.702451229095459,0.7940289974212646,0.665850818157196,0.7479408979415894,0.6096208691596985,0.6925426721572876,0.5534483790397644,0.5913362503051758,0.5211469531059265,0.5452709794044495,0.5844459533691406,0.6195673942565918,,,32.3001914024353
M18,256,3072,4,0.965112158926247,0.034821961151061544,252.26091974577466,142.0,606.0,399.0,0.27288818359375,True,"[0.9264, 0.9495, 0.9582, 0.9626, 0.9655]",0.0,0.0,3072.0,1853.0,0.39715170007912093,0.35807291666666663,99.64192708333334,0.0,0.35807291666666663,0.8608594536781311,0.844732940196991,0.7781732082366943,0.6965826749801636,0.6302262544631958,0.8445914387702942,0.5067168474197388,0.9981281846258891,0.9959800327053666,0.9936927857607524,0.9841201431947465,0.9842370410638587,0.9822879051439625,0.9870172481052162,0.8587127923965454,0.8441498875617981,0.7757604718208313,0.6967082023620605,0.630436360836029,0.8374614119529724,0.4906221628189087,0.9956392265052098,0.9952925861112597,0.9906118280189432,0.9842974861426612,0.9845651684200923,0.9739954470577136,0.9556669360231832,0.7042898535728455,0.785539448261261,0.656411349773407,0.7698909044265747,0.5948177576065063,0.6969727873802185,0.5596966743469238,0.5907698273658752,0.5241518616676331,0.5428109765052795,0.5609745681285858,0.6453679203987122,,,48.57357931137085
M19,256,6144,8,0.9664177153332564,0.03351887007158508,250.3804412736514,138.0,613.0,400.0,0.2624605596065521,False,"[0.9241, 0.9495, 0.9587, 0.9636, 0.967]",0.0,0.016276041666666664,6143.0,2948.0,0.4147379633292682,0.21158854166666666,99.78841145833334,0.0,0.21158854166666666,0.859904944896698,0.843657910823822,0.7786654829978943,0.6953277587890625,0.6278259754180908,0.8480556011199951,0.510558009147644,0.997021474217877,0.9947125223014295,0.9943213988685269,0.9823472189661631,0.9804884769119353,0.9863168410547037,0.9944993219646308,0.8593850135803223,0.844169020652771,0.7763035893440247,0.6973191499710083,0.6302377581596375,0.8396836519241333,0.4930598735809326,0.9964186370198571,0.9953151449291607,0.9913053650861475,0.9851606225225881,0.9842550066183986,0.9765799859788954,0.9604152734433051,0.7188671231269836,0.7979344129562378,0.6843768954277039,0.7533293962478638,0.626781702041626,0.6946139335632324,0.5663439035415649,0.5945977568626404,0.5215351581573486,0.5363970994949341,0.5742892026901245,0.6476651430130005,,,83.56491017341614
M20,256,12288,16,0.967374972512508,0.03256342051433076,249.16452193179728,126.0,641.0,403.0,0.25987690687179565,False,"[0.9143, 0.9462, 0.9576, 0.9637, 0.968]",0.0,0.10579427083333333,12275.0,2732.0,0.41758363249840474,0.23600260416666666,99.76399739583334,0.0,0.23600260416666666,0.8566766977310181,0.8408744931221008,0.7746363878250122,0.6872062683105469,0.6203499436378479,0.8443360328674316,0.4913174510002136,0.993278465450027,0.9914307413720076,0.9891764224493199,0.9708733154946201,0.96881300743383,0.9819908595929804,0.9570212652325755,0.8585834503173828,0.8437381386756897,0.7755721807479858,0.698567807674408,0.6307961344718933,0.8390409350395203,0.48819804191589355,0.9954892601267044,0.9948071147278932,0.9903713886428129,0.986924704866304,0.9851270341568942,0.975832484887591,0.9509450698469312,0.6935825347900391,0.7800973057746887,0.647577166557312,0.7521652579307556,0.6245121359825134,0.691448450088501,0.546062707901001,0.5856583118438721,0.5320447087287903,0.541800320148468,0.5743544101715088,0.6879475712776184,,,118.42011952400208
DENSE,-1,768,-1,,,,,,,,,,,,,,,,,,,0.8624738454818726,0.8481424450874329,0.7831124663352966,0.7078227996826172,0.6403195858001709,0.8598206639289856,0.5133819580078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
